Data,JSW,CDR,ALR,DNP
2023-10-18,45.8,104.4,62.3,386.3
2023-10-19,45.0,105.15,62.0,375.0
2023-10-20,44.1,104.6,61.88,378.0
2023-10-23,43.55,103.45,61.74,374.0
2023-10-24,43.46,103.65,64.0,373.9
2023-10-25,43.52,105.6,64.8,380.1
2023-10-26,45.46,106.55,66.0,398.3
2023-10-27,45.09,106.7,65.1,395.4
2023-10-30,46.99,105.0,65.88,390.2
2023-10-31,49.94,105.0,66.18,398.5
2023-11-02,50.06,108.35,66.16,396.0
2023-11-03,49.51,110.0,66.82,423.5
2023-11-06,50.8,109.6,68.1,433.9
2023-11-07,50.18,109.5,68.5,433.5
2023-11-08,47.86,108.25,68.82,434.4
2023-11-09,48.95,110.0,69.62,430.0
2023-11-10,47.46,109.2,68.34,434.4
2023-11-13,47.32,107.7,69.24,439.4
2023-11-14,50.44,114.1,71.94,447.7
2023-11-15,49.71,114.0,71.44,438.5
2023-11-16,49.78,112.6,71.82,440.8
2023-11-17,49.77,113.15,72.68,441.6
2023-11-20,50.9,113.85,75.12,442.1
2023-11-21,49.97,113.2,73.5,443.0
2023-11-22,47.82,113.85,74.18,446.6
2023-11-23,42.0,110.4,74.38,441.9
2023-11-24,41.1,111.95,74.36,442.1
2023-11-27,41.2,109.6,73.26,440.4
2023-11-28,40.84,107.95,76.26,444.0
2023-11-29,42.0,104.2,77.4,450.0
2023-11-30,39.54,108.85,77.18,445.8
2023-12-01,41.72,111.0,79.0,456.5
2023-12-04,41.0,106.7,77.5,464.8
2023-12-05,41.2,107.75,76.8,466.0
2023-12-06,42.03,108.5,76.9,468.5
2023-12-07,42.65,108.25,76.6,456.0
2023-12-08,44.91,112.15,77.2,454.3
2023-12-11,44.72,113.85,76.64,461.1
2023-12-12,43.58,113.3,75.78,457.2
2023-12-13,42.62,112.85,75.9,450.9
2023-12-14,43.88,114.0,75.32,457.0
2023-12-15,44.53,114.4,75.08,458.4
2023-12-18,43.52,115.3,75.3,459.9
2023-12-19,43.63,116.5,78.2,463.7
2023-12-20,42.0,116.0,76.7,459.0
2023-12-21,41.84,116.0,76.3,460.6
2023-12-22,41.76,116.5,77.0,457.0
2023-12-27,42.33,115.0,77.56,462.0
2023-12-28,42.48,115.7,76.8,461.3
2023-12-29,42.03,115.0,76.34,460.7
